Wall time,Step,Value
1650226857.1629915,0,0.04152655601501465
1650226857.838773,1,0.5060360431671143
1650226858.0148866,2,0.255033940076828
1650226858.64891,3,0.6056792736053467
1650226858.8363395,4,0.674150288105011
1650226859.5630245,5,0.653964102268219
1650226859.7291443,6,0.6902461647987366
1650226860.4190502,7,0.7878550887107849
1650226860.585792,8,0.7966454029083252
1650226861.1952372,9,0.7708458304405212
1650226861.3617454,10,0.7330377101898193
1650226861.9794505,11,0.7668357491493225
1650226862.150297,12,0.7746270298957825
1650226862.687987,13,0.8529719114303589
1650226862.8584843,14,0.801728367805481
1650226863.5890765,15,0.6757822036743164
1650226863.7561533,16,0.7671485543251038
1650226864.482532,17,0.7654643654823303
1650226864.6655707,18,0.706332802772522
1650226865.383941,19,0.1179322600364685
1650226865.5509284,20,0.6677224040031433
1650226866.0545595,21,0.6722304224967957
1650226866.2207263,22,0.6438807249069214
1650226866.9148762,23,0.7290248870849609
1650226867.089257,24,0.6952897310256958
1650226867.7575767,25,0.7277185916900635
1650226867.9229352,26,0.7525506615638733
1650226868.6614726,27,0.6553336977958679
1650226868.8269298,28,0.8529712557792664
1650226869.5482423,29,0.8145049810409546
1650226869.7132287,30,0.7378301620483398
1650226870.3047798,31,0.7674143314361572
1650226879.1234975,32,0.5657918453216553
1650226879.7240064,33,0.6637405753135681
1650226879.8952537,34,0.7059987783432007
1650226880.5676785,35,0.7091849446296692
1650226880.735734,36,0.6897843480110168
1650226881.5281773,37,0.667611837387085
1650226881.7133968,38,0.7305282354354858
1650226882.4545853,39,0.7364686727523804
1650226882.6225002,40,0.7423022389411926
1650226883.244475,41,0.7604166865348816
1650226883.4107773,42,0.6857897043228149
1650226884.0020893,43,0.7536780834197998
1650226884.1910386,44,0.8080472946166992
1650226884.9454768,45,0.7485556602478027
1650226885.1304214,46,0.7904479503631592
1650226885.91743,47,0.7936417460441589
1650226886.088418,48,0.7957144975662231
1650226886.8273025,49,0.27531924843788147
1650226887.0006278,50,0.7004138827323914
1650226887.7610557,51,0.7158267498016357
1650226887.9271832,52,0.704380452632904
1650226888.6512241,53,0.70511394739151
1650226888.8176281,54,0.6389281749725342
1650226889.537435,55,0.7119542360305786
1650226889.715361,56,0.6903412342071533
1650226890.513889,57,0.7542866468429565
1650226890.6844182,58,0.6968420147895813
1650226891.3512092,59,0.7417832612991333
1650226891.5167432,60,0.6784599423408508
1650226892.2276018,61,0.7220290899276733
1650226892.3912466,62,0.7256871461868286
1650226893.11882,63,0.7882145047187805
1650226900.8104358,64,0.7250641584396362
1650226901.5254695,65,0.3205748498439789
1650226901.6989164,66,0.7456888556480408
1650226902.3607426,67,0.7887071967124939
1650226902.5267105,68,0.766567587852478
1650226903.1668644,69,0.7760521769523621
1650226903.3353345,70,0.7246212363243103
1650226904.0601957,71,0.7816054224967957
