,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,46,1485,1535,114,120.76928616263594,108.09444708121178,58,77,100,125,155,189,0.0068493150684931,0.0205479452054794,0.1027397260273972,0.2123287671232876,1021.6772289050308,408.8162368049357,167130.71547534928,nuc
1,1,19,631,894,21,108.89379786938808,111.2669337346619,28,44,57,78,113,136,0.0,0.0823529411764705,0.2705882352941176,0.5411764705882353,1123.317587714835,552.1475184107313,304866.88208712894,nuc
2,2,47,1383,2445,2,224.41361522557955,228.7946276102418,49,79,91,121,183,227,0.0,0.0218340611353711,0.1091703056768559,0.2489082969432314,1369.6758025870122,641.6144508615197,411669.1035543295,nuc
3,3,46,1569,1332,32,109.97501953831976,126.44705291353142,46,58,67,96,139,173,0.0,0.0273972602739726,0.1986301369863013,0.3835616438356164,1040.2118787781185,406.0607942076123,164885.36859251687,nuc
4,4,32,904,75,72,152.00832952696908,202.35155952894007,41,44,70,81,113,142,0.0142857142857142,0.0428571428571428,0.2428571428571428,0.5857142857142857,1526.459463168937,687.2180383120487,472268.6321814605,cyto
5,5,31,821,648,1,227.9413799050297,229.59149983622189,39,66,71,105,153,196,0.0,0.0505617977528089,0.1741573033707865,0.3258426966292135,1169.7152794474998,574.3036902825781,329824.7286721875,nuc
6,6,76,2463,2509,48,71.09532030828707,81.62024874728827,37,49,51,52,65,78,0.0,0.0625,0.8125,1.625,1883.8350614441335,739.4812185067175,546832.4725241796,nuc
7,7,22,814,1815,48,75.56831513922663,89.5005176217511,27,39,50,63,87,102,0.0,0.1066666666666666,0.44,0.96,1066.2130806585435,499.9347043170183,249934.7085805445,nuc
8,8,63,2023,1966,5,107.2172690939172,108.45671500023076,30,36,38,57,71,85,0.0,0.15,0.6,1.1,1343.1845457146458,620.9111536736654,385530.6607563621,nuc
9,9,52,1681,816,35,128.10252540889496,90.57552472046729,36,43,58,83,97,129,0.0,0.0652173913043478,0.217391304347826,0.6956521739130435,1189.8704153294048,489.30039583681855,239414.8773660673,nuc
10,10,41,1361,57,45,58.85595020805869,52.62720582753234,21,29,33,55,70,89,0.0303030303030303,0.1818181818181818,0.6363636363636364,1.2727272727272727,1549.6105242345309,655.8720272599263,430168.1161420455,nuc
11,11,27,887,1095,47,141.02557027030002,172.1208626276774,39,59,64,86,123,160,0.0,0.0526315789473684,0.225563909774436,0.4736842105263157,1009.1960649537092,444.21331401142703,197325.4683450147,cyto
12,12,22,755,1774,47,86.0967242645421,98.01533011803174,32,43,47,70,92,112,0.0133333333333333,0.0666666666666666,0.4,0.9066666666666666,1068.7514942855205,502.7948161041127,252802.6271011685,nuc
