label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
18,451,1866,40,63.545553120796,71.8339830917057,42,50,63,79,105,132,0.009345794392523,0.046728971962617,0.252336448598131,0.663551401869159,1218.19896004616,606.689575815385,368072.241403052,nuc
65,1486,2097,52,161.157431386344,209.033211506841,45,52,64,76,119,153,0,0.045977011494253,0.28735632183908,0.517241379310345,1209.35112839919,526.248956765287,276937.964496553,cyto
63,1461,1831,42,169.86937560654,177.786781120017,39,51,62,82,117,148,0,0.057692307692308,0.221153846153846,0.509615384615385,1074.98753134048,461.612608155472,213086.200008097,cyto
18,302,1923,25,160.918091106638,92.4331379236454,31,40,49,63,97,124,0,0.102803738317757,0.364485981308411,0.700934579439252,1321.43475050658,642.299882894887,412549.139566786,cyto
29,786,286,5,121.460817219921,129.287446166121,26,41,45,56,90,109,0.020833333333333,0.083333333333333,0.395833333333333,0.916666666666667,1337.69104035937,617.64637370671,381487.042953049,cyto
41,1062,2367,53,146.088868450706,156.855458937669,47,62,86,108,159,196,0,0.028846153846154,0.134615384615385,0.259615384615385,1345.83400626885,592.59094014033,351164.0223364,cyto
19,518,1959,52,140.38341830836,139.826405434897,33,55,61,82,114,137,0,0.065217391304348,0.239130434782609,0.58695652173913,1227.72608798432,605.752685644753,366936.316165831,cyto
18,302,1899,27,145.34112465496,81.8504423729062,25,37,50,65,93,125,0.009345794392523,0.11214953271028,0.392523364485981,0.710280373831776,1311.49340001312,639.653144901444,409156.145782308,nuc
58,1518,2467,59,59.7100937154909,64.5729326847819,35,59,66,96,118,132,0,0.060606060606061,0.212121212121212,0.575757575757576,1460.64974542629,597.706695816081,357253.294223377,cyto
29,746,341,37,75.2850109493684,81.200884211978,25,31,39,50,78,93,0.041666666666667,0.166666666666667,0.520833333333333,1.27083333333333,1309.91637268948,616.313772318455,379842.665949404,nuc
50,1178,264,63,161.739539756214,158.059335259382,49,66,81,106,162,213,0,0.040322580645161,0.137096774193548,0.314516129032258,1315.24456459632,577.699658825733,333736.895807368,nuc
41,1171,2198,32,242.573564856472,222.205932983515,53,65,73,86,131,165,0,0.028846153846154,0.192307692307692,0.432692307692308,1229.55132271594,551.226039291979,303850.146393522,cyto
41,1141,2229,40,204.573194266174,186.976619818784,41,59,73,97,137,172,0,0.038461538461538,0.192307692307692,0.394230769230769,1249.11523797171,559.922411767444,313513.107199471,cyto
98,2624,514,141,127.457397943676,127.122810567852,24,40,45,88,159,188,0.023255813953488,0.13953488372093,0.232558139534884,0.325581395348837,1795.2786940984,695.865920811691,484229.379747103,cyto
20,687,2339,17,224.266250605093,278.772350714398,40,49,52,70,99,113,0,0.066666666666667,0.4,0.8,1388.5198010399,633.579221317709,401422.629685555,cyto
50,1135,263,52,179.052550968821,171.48444772075,45,59,75,97,168,208,0,0.040322580645161,0.17741935483871,0.306451612903226,1315.40857774386,580.563498865398,337053.976214833,nuc
53,1136,946,1,182.569124126143,161.610234545276,39,48,62,81,123,149,0,0.052173913043478,0.243478260869565,0.478260869565217,972.323429184567,422.314437956864,178349.484506822,cyto
65,1709,2059,63,106.214732437325,119.23508548583,47,56,76,99,157,195,0.011494252873563,0.045977011494253,0.183908045977011,0.310344827586207,1256.14131413952,538.559159371187,290045.9681426,cyto
55,1246,205,28,115.140626730816,123.264950879055,33,53,56,66,96,121,0,0.064516129032258,0.354838709677419,0.741935483870968,1361.21417121081,583.743434280448,340756.397065532,cyto
63,1429,1810,16,185.926660563771,196.376902584681,45,60,66,80,119,141,0,0.048076923076923,0.25,0.509615384615385,1059.88558526961,453.920370941801,206043.703155942,cyto
18,350,1907,47,117.222906872383,45.3145051426049,35,47,58,73,97,122,0.009345794392523,0.074766355140187,0.345794392523364,0.719626168224299,1287.50959053631,632.136440443446,399596.47933651,nuc
68,1712,1368,91,66.2941086635408,37.2318439886847,62,66,74,101,133,164,0,0.014084507042254,0.169014084507042,0.394366197183098,1045.19108147545,447.660580610543,200399.995432568,nuc
