,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,18,456,1754,50,235.27359901058452,242.0964932729277,48,74,91,125,176,220,0.0,0.0318181818181818,0.1181818181818181,0.2227272727272727,1211.367072137759,586.7316068404446,344253.97846557,nuc
1,1,28,644,672,22,162.49764263577785,173.40947181197453,35,45,63,78,101,131,0.0,0.0666666666666666,0.2666666666666666,0.6111111111111112,1173.1946663211038,573.8889767642255,329348.55765148974,cyto
2,2,25,607,2613,33,48.819465315678826,67.4238392657188,24,27,30,39,50,67,0.0454545454545454,0.3181818181818182,0.8636363636363636,1.4545454545454546,1635.778518575696,691.8780312078819,478695.2100680949,cyto
3,3,18,546,1698,53,199.4130945092108,216.63972321593852,47,80,97,119,172,206,0.0,0.0318181818181818,0.1,0.25,1148.5164730187237,559.4376893926362,312970.5283129717,cyto
4,4,79,2448,2144,28,30.01113673775703,31.208940518853694,27,33,37,42,53,69,0.0,0.2352941176470588,0.9411764705882352,1.588235294117647,1690.648449960726,626.8889833185077,392989.79740611225,nuc
5,5,25,571,2552,18,87.00848691924678,110.3966206857982,21,22,27,36,45,67,0.0454545454545454,0.4090909090909091,1.1363636363636365,1.5454545454545454,1602.3055459673435,688.324729379575,473790.9330754652,cyto
6,6,79,2418,2081,25,46.09313914751485,62.21962640304135,27,28,39,40,43,57,0.0,0.4117647058823529,1.0,1.4705882352941178,1640.862961013246,617.5175741616888,381327.9543985368,cyto
7,7,26,965,2553,19,225.1565805195858,225.2861682182209,32,37,45,61,79,112,0.0142857142857142,0.1142857142857142,0.5,0.7714285714285715,1495.0649726438132,671.586547820503,451028.4912134608,cyto
8,8,82,2581,1196,9,160.17305072901036,148.321992329833,31,32,34,56,104,119,0.0,0.1578947368421052,0.3684210526315789,0.8421052631578947,1577.0476305222735,608.2907455794582,370017.6311576131,cyto
9,9,23,573,1921,1,216.37950990906617,207.8083317827531,34,40,56,69,99,121,0.0,0.1022727272727272,0.3522727272727273,0.7386363636363636,1216.7325779972964,593.0736018421469,351736.29720201745,cyto
10,10,54,1578,1461,22,129.5100857491777,181.26214169505943,37,54,62,89,135,161,0.0175438596491228,0.0526315789473684,0.2456140350877192,0.3684210526315789,1004.7139572814832,389.3432261563528,151588.1477538369,cyto
