,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,33,1474,586,39,165.98479218208007,161.72564240318408,35,40,47,55,90,110,0.0,0.1111111111111111,0.4222222222222222,0.8888888888888888,945.032811724697,510.2281173720556,260332.7317570321,nuc
1,1,35,1686,937,9,382.5744229930506,355.8939211734772,49,73,90,119,173,216,0.0,0.019047619047619,0.1142857142857142,0.2571428571428571,923.4502125691548,448.40426573527486,201066.38552959097,nuc
2,2,11,595,189,80,183.76804990461605,214.68830739374124,36,48,64,77,117,154,0.0,0.0746268656716417,0.2537313432835821,0.5223880597014925,1399.4547035951698,657.9424043321097,432888.20741831744,nuc
3,3,25,1105,668,15,114.50951145795776,121.85238197768751,46,63,83,109,158,186,0.0,0.04,0.14,0.3,1006.1826513422532,473.5587686097505,224257.9073271832,cyto
4,4,35,1577,749,1,351.4034369426842,327.3326499312608,56,65,85,109,160,197,0.0,0.0285714285714285,0.1428571428571428,0.2952380952380952,918.203212536392,472.35273228274673,223117.1036949762,nuc
5,5,43,1517,702,13,175.5190044798321,174.926260299598,32,51,54,66,99,125,0.0,0.0833333333333333,0.3333333333333333,0.6666666666666666,923.34700407856,477.32458179347367,227838.75638431453,nuc
6,6,4,286,446,1,207.04833838768508,201.4332534705434,24,36,39,41,96,135,0.037037037037037,0.1851851851851851,0.3703703703703703,0.7037037037037037,1512.3396106779524,642.0185625929211,412187.8347138805,cyto
7,7,12,572,2138,23,279.08445463045115,254.14675897004207,39,50,64,86,128,267,0.0,0.0769230769230769,0.1923076923076923,0.4230769230769231,1685.3821889017554,604.1848371333188,365039.3174218149,nuc
8,8,50,1979,2562,68,116.05930911230526,154.37305239693714,42,42,42,42,66,78,0.0,0.0,0.75,0.75,1832.0725439511248,674.832656269473,455399.1139677127,cyto
9,9,52,1856,1849,21,164.10272867022985,168.2752772562894,35,66,91,126,176,212,0.0,0.05,0.1333333333333333,0.2166666666666666,1279.9115474874243,544.1023987847855,296047.4203633577,nuc
10,10,48,1967,552,5,208.85297589845771,205.6985928283005,58,77,95,130,195,227,0.0,0.0215827338129496,0.1079136690647482,0.2302158273381295,1024.4170354750386,608.8819292754914,370737.2037982446,cyto
11,11,28,1075,2350,24,176.29739031105106,173.42851437976026,35,80,84,129,184,228,0.0227272727272727,0.0681818181818181,0.1136363636363636,0.2045454545454545,1643.4342463579878,623.674275346103,388969.60172848665,nuc
12,12,3,17,1971,3,334.783723739124,311.4807916292642,34,78,78,139,215,238,0.0,0.0769230769230769,0.1538461538461538,0.2307692307692307,1941.8061174343509,620.1575624746779,384595.402294534,cyto
13,13,5,377,1141,20,204.24659079179924,201.4439266388233,39,40,40,55,85,141,0.0,0.1666666666666666,0.4166666666666667,0.7083333333333334,1403.9537918170158,529.8674447607,280759.50901723345,nuc
14,14,44,1762,2285,37,186.38335555636112,184.12497264770164,58,80,84,98,174,231,0.0,0.0,0.1142857142857142,0.2857142857142857,1562.5747575019388,625.5824516660103,391353.4038324561,nuc
15,15,52,1940,1504,13,210.3399134472576,211.44762252364623,27,55,70,101,137,170,0.0,0.05,0.2,0.3666666666666666,1123.41255057818,501.8829407265122,251886.48619229175,cyto
16,16,63,2358,1621,10,151.47479447787558,126.78759223667036,35,51,62,84,136,150,0.0,0.064516129032258,0.1935483870967742,0.4516129032258064,1366.314188570549,590.4559587508521,348638.239224388,nuc
17,17,25,1142,330,30,299.0543417637925,299.4847071575439,32,51,77,92,116,143,0.0,0.08,0.16,0.56,1088.9190870786956,583.1405828703358,340052.93939035496,cyto
18,18,18,826,2059,51,123.43942713347788,123.06896347952971,34,56,68,78,121,183,0.0,0.0714285714285714,0.2857142857142857,0.4285714285714285,1521.1576185107897,562.9307650097543,316891.0461944672,nuc
19,19,46,1672,551,47,110.2995741769093,101.10179360903656,39,47,57,78,113,136,0.0,0.0576923076923076,0.2884615384615384,0.5576923076923077,957.0121929220456,550.6382045490534,303202.4323090052,nuc
20,20,49,1731,881,14,175.2517745386333,168.73097853703973,47,61,71,86,119,147,0.0158730158730158,0.0476190476190476,0.2063492063492063,0.5238095238095238,926.4487932706,471.8380427328252,222631.13856994332,nuc
21,21,49,1828,1033,89,67.23703459655087,65.97782909947931,45,56,65,83,111,159,0.0,0.0317460317460317,0.2222222222222222,0.5396825396825397,956.478083012606,471.3855699513946,222204.35555840115,nuc
22,22,18,844,2007,27,120.58656779032682,117.84422093535416,17,45,56,71,129,163,0.0714285714285714,0.0714285714285714,0.2857142857142857,0.4285714285714285,1482.1326612530818,547.5979596830915,299863.5254490847,nuc
23,23,11,305,476,2,235.5678319917733,211.8273764104163,41,53,83,117,185,260,0.0,0.044776119402985,0.1492537313432835,0.2686567164179104,1490.1065774464157,635.4046122420758,403739.0212585027,cyto
24,24,60,2327,1147,94,55.17378117043151,120.94123171609486,36,54,62,87,155,207,0.0,0.0677966101694915,0.1694915254237288,0.4067796610169492,1195.8989281798088,578.3463596388939,334484.5117075608,nuc
25,25,48,1788,180,33,205.354329748872,207.1361904123491,43,62,87,112,160,203,0.0,0.0431654676258992,0.1366906474820144,0.302158273381295,1131.5032237102191,665.3024674679214,442627.3732189046,cyto
26,26,48,1640,215,39,289.27125822910773,281.3271217375607,45,59,77,119,165,210,0.0,0.0359712230215827,0.1510791366906475,0.2589928057553957,1090.9282427621056,639.5108733377864,408974.15711725823,nuc
27,27,32,1395,1921,3,136.47163656358182,125.44423245929136,44,44,58,58,77,112,0.0,0.0,0.5,0.75,1294.3071752573826,504.87055541530873,254894.2777253623,nuc
28,28,52,2120,1736,39,171.91601344444453,163.95773214987366,43,58,65,88,144,195,0.0,0.0333333333333333,0.2,0.3833333333333333,1300.9282090516333,569.6301779750231,324478.5396598565,nuc
29,29,35,1213,1179,14,227.00630420630347,244.3127906106539,109,135,157,185,233,300,0.0,0.019047619047619,0.0380952380952381,0.0857142857142857,999.370695861256,355.53569388421045,126405.629625727,nuc
30,30,28,1420,2607,76,271.6351985615822,271.97624614007265,57,97,106,131,190,253,0.0,0.0227272727272727,0.0909090909090909,0.1818181818181818,1806.2721968800847,668.3283575755885,446662.7935396836,nuc
31,31,21,933,365,24,190.4958965665564,135.44802717441073,49,58,72,90,126,177,0.0,0.0,0.1818181818181818,0.4545454545454545,1150.0015765546862,586.5126224789042,343997.0563270815,nuc
32,32,35,1018,837,8,316.92046502647395,338.4440059127793,62,76,90,135,207,263,0.0,0.019047619047619,0.1047619047619047,0.219047619047619,1023.857921379932,434.5457941928877,188830.0472507276,cyto
33,33,49,1714,897,24,181.16926663285628,174.59499078105424,41,70,74,87,130,156,0.0,0.0476190476190476,0.1904761904761904,0.4603174603174603,924.6147745861977,463.94797789116194,215247.7261892981,nuc
34,34,11,425,581,56,245.7033004021613,214.24075658479964,64,88,102,137,197,244,0.0,0.0,0.0895522388059701,0.2238805970149253,1379.7788607562593,601.254095901039,361506.48783777584,nuc
35,35,35,1023,1018,94,285.79527922535897,312.7150412504879,82,122,134,174,230,285,0.0,0.0095238095238095,0.0476190476190476,0.0857142857142857,1031.5113612401055,393.5099852793373,154850.10851454423,nuc
36,36,41,1599,2544,104,62.14848102681433,66.03413283570734,50,74,76,104,136,185,0.0,0.032258064516129,0.1612903225806451,0.3870967741935484,1754.4351234609617,663.137782273952,439751.7182792154,nuc
37,37,12,627,2215,28,266.2830264062856,244.5481955551854,28,35,35,49,133,199,0.0,0.1538461538461538,0.3846153846153846,0.4615384615384615,1707.6932789387365,615.9020632224908,379335.3514817211,nuc
38,38,65,2489,631,77,206.81403542664893,168.47157173025633,54,93,99,133,209,263,0.0105263157894736,0.031578947368421,0.0947368421052631,0.2105263157894736,1301.7046253252995,671.2761275760464,450611.6394534925,nuc
39,39,11,562,189,77,169.61028353451673,201.0593213977931,27,39,63,83,124,158,0.0149253731343283,0.1044776119402985,0.2388059701492537,0.4776119402985074,1419.284152693831,660.5671231613684,436348.92420168646,nuc
