,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,10,105,1498,3,159.9208120441422,167.3821751844356,30,39,56,66,93,118,0.0077519379844961,0.1085271317829457,0.4031007751937984,0.7829457364341085,1403.854673634667,650.8773054899527,423641.2668018613,cyto
1,1,32,956,456,22,70.31744005105602,74.20177315414165,25,34,40,55,75,88,0.0,0.1666666666666666,0.5666666666666667,1.3833333333333333,1284.5991209929202,612.8789046247614,375620.55173404736,nuc
2,2,5,146,669,17,138.55128823195818,145.25059134190715,39,54,64,93,140,181,0.0147058823529411,0.0551470588235294,0.1948529411764706,0.3786764705882353,1508.9560963938711,703.0142806634775,494229.0788167867,nuc
3,3,2,78,1682,7,142.26713536285413,152.87957829938202,37,49,59,71,90,114,0.0,0.0697674418604651,0.3837209302325581,0.8255813953488372,1448.962490555028,662.4550617060847,438846.7087800125,cyto
4,4,27,691,2169,34,198.53966683404693,163.07145948217018,50,63,74,97,139,177,0.0,0.0246913580246913,0.176954732510288,0.3950617283950617,1293.0397463718034,620.8709594555131,385480.7482952094,nuc
5,5,83,2511,1275,32,189.75482452279385,188.2822191587249,39,43,52,59,82,102,0.0116279069767441,0.0581395348837209,0.4767441860465116,0.9534883720930232,1547.272626706682,635.8679428719967,404328.0407722648,cyto
6,6,10,133,1523,8,147.44339754632216,153.3425881708884,35,41,52,66,99,122,0.0077519379844961,0.0852713178294573,0.3720930232558139,0.7209302325581395,1386.2157160205031,646.8051103002316,418356.8507104948,cyto
7,7,83,2606,1046,138,73.59917919307772,68.88219712524361,33,48,73,110,158,202,0.0,0.0813953488372093,0.1627906976744186,0.313953488372093,1651.0741896473537,648.0114497588485,419918.83901856455,nuc
8,8,1,16,1580,17,227.7417777749152,240.1890889298353,35,48,61,86,120,146,0.037037037037037,0.0833333333333333,0.2314814814814814,0.5092592592592593,1478.75050215163,665.6384486960883,443074.544382535,cyto
9,9,5,262,639,59,110.15386322633324,135.34974329885154,48,70,83,99,143,177,0.0073529411764705,0.0367647058823529,0.1433823529411764,0.3639705882352941,1448.5320824893245,692.3717353669997,479378.6199351106,nuc
10,10,21,642,560,20,149.80478242072397,164.10879748064056,42,52,74,91,138,167,0.0114942528735632,0.0459770114942528,0.1724137931034483,0.396551724137931,1305.6803067458422,639.1139981127129,408466.7025836168,nuc
