,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,25,1059,2163,4,146.40964428056813,147.9662682503707,31,37,47,58,75,90,0.0,0.1111111111111111,0.5555555555555556,1.3333333333333333,1096.8163100486872,525.102127673825,275732.244487578,nuc
1,1,5,373,1514,41,180.3378887164552,98.10185463749656,59,77,90,105,156,190,0.0,0.027027027027027,0.1351351351351351,0.3243243243243243,1127.280268292518,508.1259238357613,258191.95447394595,nuc
2,2,5,256,1239,36,266.75285892489035,218.35358068068584,28,37,71,123,185,216,0.027027027027027,0.1081081081081081,0.2027027027027027,0.2432432432432432,1201.0122636697236,543.632038351205,295535.793121886,cyto
3,3,44,1855,1092,20,224.56231991902715,249.5321935271644,48,61,80,104,154,207,0.0095238095238095,0.0285714285714285,0.1523809523809524,0.3238095238095238,1098.1949003914394,454.8557156029952,206893.72201671285,cyto
4,4,28,1215,731,25,197.04190114133948,178.42943759097017,50,70,82,115,167,202,0.0,0.0291970802919708,0.145985401459854,0.2700729927007299,1023.8591090819428,502.1124311463844,252116.89351173255,cyto
5,5,27,958,1278,61,177.54878509964803,260.1422317916943,47,63,84,108,144,178,0.0066225165562913,0.0264900662251655,0.1390728476821192,0.304635761589404,873.2931693580388,404.581228203947,163685.9702150142,cyto
6,6,14,556,96,51,66.91118354021475,51.64898295377289,23,28,44,49,80,95,0.0,0.1,0.5,1.1,1564.7931790523826,690.2646478933316,476465.28413130506,nuc
7,7,2,16,2432,17,174.07750426507712,103.8793971292857,33,48,65,141,183,225,0.0,0.0833333333333333,0.1666666666666666,0.1944444444444444,1713.790654782958,605.1713767135575,366232.39519338246,cyto
8,8,12,563,1056,20,147.9393165716753,193.9377264773544,43,57,63,81,120,168,0.0074626865671641,0.0373134328358208,0.2313432835820895,0.5,1039.990403757521,522.5692016938544,273078.57055895234,cyto
9,9,55,1894,1487,123,136.79574553211145,137.0584312528189,44,69,92,110,160,194,0.0,0.0347826086956521,0.1217391304347826,0.3130434782608696,1078.4086235914908,474.9303712739176,225558.8575583812,nuc
10,10,20,684,2107,14,121.57688961948864,146.20878118372008,19,41,43,60,78,99,0.0666666666666666,0.0666666666666666,0.5333333333333333,1.2666666666666666,1160.387281247237,527.6156809693797,278378.3068047823,cyto
11,11,21,621,379,1,266.2204452921019,242.64207202651747,46,55,71,107,152,194,0.0,0.023076923076923,0.1923076923076923,0.3538461538461538,1329.1879104327998,655.4861818401698,429662.1345834041,cyto
12,12,26,1051,2297,54,72.23941543817284,69.52182300074433,31,36,41,63,93,112,0.0,0.1320754716981132,0.4339622641509434,0.9245283018867924,1180.6647425939725,558.6884539035165,312132.78852510167,nuc
13,13,50,1891,1004,72,179.72094685855484,166.10287129765018,35,44,64,85,109,139,0.0,0.0789473684210526,0.2368421052631578,0.631578947368421,1142.863774705079,465.7564050343212,216929.02883049464,cyto
14,14,38,1289,667,44,149.27977487768473,170.30686404443955,39,52,55,71,108,141,0.0,0.0694444444444444,0.3055555555555556,0.5972222222222222,1064.609845656414,516.1204063857381,266380.2738877794,cyto
15,15,26,1077,2243,60,114.59556675691658,97.97248684836732,31,45,47,60,83,99,0.0,0.0754716981132075,0.4150943396226415,1.0566037735849056,1142.8315727153897,546.7825536339076,298971.16095841705,nuc
16,16,9,452,576,8,282.95949592622486,257.87315307123635,51,70,73,104,157,199,0.0,0.024390243902439,0.1626016260162601,0.3252032520325203,1285.8240595355053,632.8788740338038,400535.6691982953,cyto
17,17,58,2475,2461,33,192.4953496535861,283.3430809216512,49,66,72,88,152,246,0.0,0.0149253731343283,0.208955223880597,0.417910447761194,1797.0969584970085,684.6524153959807,468748.9299075505,cyto
18,18,12,743,1287,65,189.5864089179757,245.462220505266,52,70,83,102,144,173,0.0,0.0298507462686567,0.1417910447761194,0.3283582089552239,930.1323006249564,447.1947723998152,199983.16446172248,cyto
19,19,35,1387,1858,53,61.31594559286089,59.1181768633843,46,47,53,61,92,105,0.0,0.048780487804878,0.3902439024390244,0.951219512195122,961.0237794906898,453.6581908387008,205805.75411504303,nuc
20,20,29,1044,1806,18,161.41752587006545,155.46825196954285,26,45,54,67,92,114,0.0,0.0952380952380952,0.3809523809523809,0.8809523809523809,934.6230022154213,428.7557891876612,183831.52676193416,nuc
21,21,34,1549,1376,8,212.38446286725517,212.09447415689615,62,81,100,126,172,219,0.0,0.0124223602484472,0.0993788819875776,0.2236024844720497,920.2297911936256,396.18559461960535,156963.02538409026,cyto
22,22,51,1897,345,47,125.16478188134889,141.5641683836086,36,49,63,78,134,158,0.0,0.088235294117647,0.2647058823529412,0.3823529411764705,1465.7395801792595,570.5043695942109,325475.235726088,cyto
23,23,58,2124,2407,48,163.01310297614597,122.97467790941649,35,41,60,93,153,195,0.0149253731343283,0.0895522388059701,0.1940298507462686,0.3432835820895522,1532.4280314343057,670.347686009877,449366.0201387965,nuc
24,24,44,1696,1354,105,120.14584496661254,158.68120040388072,44,58,73,106,143,168,0.0,0.0285714285714285,0.1904761904761904,0.3619047619047619,977.8021639888292,423.75340445975945,179566.94779123648,nuc
25,25,8,516,19,29,204.26173075010152,141.82413442948229,28,38,38,46,91,124,0.0,0.2,0.44,0.68,1642.176974531818,696.2612274967731,484779.6969153133,cyto
26,26,35,1331,1834,22,77.77698425527308,75.58143984563702,38,44,54,66,100,120,0.0,0.073170731707317,0.3902439024390244,0.8048780487804879,944.86584772301,440.8557906630489,194353.828161142,nuc
27,27,42,1678,1590,106,77.04907543000473,131.07453801472573,44,64,69,90,118,146,0.0,0.0476190476190476,0.2,0.5333333333333333,978.7455683523868,445.51303427837297,198481.86371192272,nuc
28,28,26,984,2204,34,98.45691569532464,71.96410890833404,36,40,54,86,114,139,0.0188679245283018,0.1132075471698113,0.2264150943396226,0.5849056603773585,1132.1026060836189,534.4775588553139,285666.2609199355,nuc
29,29,58,2427,2470,81,146.4679193140892,246.3842130898168,26,40,52,71,145,232,0.0298507462686567,0.1044776119402985,0.3134328358208955,0.4328358208955223,1767.8264191864853,685.7134532140293,470202.9399187088,cyto
30,30,27,1009,1340,74,117.98726054229618,187.66018485277948,56,75,80,110,151,176,0.0,0.0132450331125827,0.152317880794702,0.304635761589404,862.7702124001455,390.125964497701,152198.26817526147,cyto
31,31,60,2245,1706,53,101.2779899666283,130.50789436010712,23,39,55,62,110,136,0.0,0.1142857142857142,0.3714285714285714,0.5714285714285714,1338.445212457896,560.4900609465215,314149.10841983533,cyto
32,32,5,32,1261,33,286.9495107735028,326.53818351739494,38,69,85,148,258,300,0.0135135135135135,0.054054054054054,0.1351351351351351,0.2027027027027027,1369.7292179730616,564.7067760470957,318893.7429135047,cyto
33,33,3,279,757,2,157.3283246408667,146.81349332505246,33,51,65,87,139,172,0.025,0.075,0.2125,0.3875,1302.1687059690962,614.5268343355132,377643.2301184272,cyto
34,34,30,1148,383,14,213.4210133380332,222.3940095817401,28,35,40,46,78,95,0.0,0.1538461538461538,0.5641025641025641,1.0769230769230769,1230.2412295708082,604.7743233059725,365751.98213019694,cyto
35,35,20,662,2071,25,127.68179486741305,152.81608596077268,29,32,43,47,53,89,0.0,0.1333333333333333,0.7333333333333333,1.5333333333333334,1150.0023067695156,523.6245994326706,274182.7211310247,cyto
36,36,44,1828,1243,41,146.61212947781436,197.11867889176688,59,64,77,105,139,168,0.0,0.0095238095238095,0.1523809523809524,0.3523809523809524,1053.89269543481,446.5581349563757,199414.16789571664,cyto
37,37,22,990,162,38,141.0605016909847,124.65458137350606,37,49,59,76,103,135,0.0,0.081081081081081,0.3513513513513513,0.6216216216216216,1405.790924129283,656.5468162928413,431053.7219842658,cyto
38,38,55,1902,1392,62,191.16035659855,176.66050900859702,45,66,77,96,146,185,0.0,0.0434782608695652,0.1826086956521739,0.3652173913043478,1082.675892609953,467.22793400424086,218301.9423138713,cyto
39,39,42,1690,1650,83,76.14828638876688,124.36719869910172,33,44,62,77,121,151,0.0095238095238095,0.0666666666666666,0.2761904761904762,0.4857142857142857,993.0525577328992,458.4018697341628,210132.27417577637,nuc
40,40,58,2468,2374,35,195.73336057973324,249.1790389372602,39,55,76,101,137,183,0.0,0.0597014925373134,0.1791044776119403,0.3582089552238806,1744.5689911299949,676.5287350393049,457691.129333882,cyto
41,41,42,1733,1665,53,121.42721028423531,167.26668617699073,32,46,60,79,119,149,0.0095238095238095,0.0761904761904762,0.2666666666666666,0.5142857142857142,1014.5920162426509,469.9593719469224,220861.81128074575,cyto
42,42,28,1149,655,97,184.20949938630952,162.76457388527442,52,77,91,118,175,212,0.0,0.0218978102189781,0.1094890510948905,0.2627737226277372,1059.9163755862137,531.2800855099536,282258.52925946354,nuc
43,43,26,1073,2277,48,97.3936300740237,88.26784532644581,25,35,42,51,88,109,0.0377358490566037,0.1320754716981132,0.4339622641509434,1.0377358490566038,1164.9244633294825,555.0130488112517,308039.4843507609,nuc
44,44,3,294,699,3,191.7618498170071,185.44345861435275,48,53,58,78,118,166,0.0,0.0375,0.25,0.5125,1317.284463344381,622.9152232041146,388023.3752994319,cyto
45,45,53,1874,1313,2,172.29200669571733,153.01732183733608,24,41,46,52,75,89,0.0,0.088235294117647,0.5882352941176471,1.3529411764705883,1071.234195243708,457.115363339842,208954.45540131573,cyto
46,46,50,1829,992,23,188.04687253029215,160.15845442462833,35,47,64,71,108,129,0.0,0.0526315789473684,0.2894736842105263,0.5263157894736842,1112.2707879422255,458.99895349914544,210680.0393133107,cyto
47,47,50,1883,1026,49,202.72367499838825,187.51207216693135,24,30,51,72,100,126,0.0,0.131578947368421,0.3421052631578947,0.7105263157894737,1131.7322311182247,463.0638704823432,214428.14814608832,cyto
48,48,7,432,2425,138,31.777131713676376,142.89004597056743,61,72,85,97,146,180,0.0,0.0181818181818181,0.1272727272727272,0.3636363636363636,1463.697027637625,593.8652832060758,352675.9745974326,cyto
49,49,35,1353,1904,26,115.87766042546676,113.50933444869511,32,41,49,58,93,109,0.024390243902439,0.0975609756097561,0.4390243902439024,0.8048780487804879,973.3557229469012,462.7408110824678,214129.05824126015,nuc
50,50,50,1982,1045,31,227.8863073188405,232.34932995218915,42,56,63,90,123,150,0.0,0.0263157894736842,0.2105263157894736,0.4736842105263157,1185.6315951256463,474.9483607191663,225575.94534982328,cyto
51,51,29,1030,1785,1,186.63299743343936,180.7045262069877,27,36,46,62,79,99,0.0,0.119047619047619,0.5,0.9285714285714286,929.2697059891308,425.0640262659239,180679.42642539807,cyto
52,52,16,625,407,20,328.2451100658473,286.28879320282266,43,68,79,99,158,211,0.0,0.0460526315789473,0.1644736842105263,0.3157894736842105,1308.774046781183,650.594637844028,423273.3827914019,cyto
53,53,4,148,2043,63,81.14439724432005,177.63281183025578,31,35,55,66,110,135,0.0,0.1142857142857142,0.3142857142857143,0.5142857142857142,1423.3949164260152,572.4953074860506,327750.8770935476,cyto
54,54,44,1718,1391,73,160.46044833392983,201.41839628741133,44,55,73,93,130,159,0.0095238095238095,0.0285714285714285,0.219047619047619,0.4476190476190476,986.072584427295,430.56565967807705,185386.78729401767,cyto
55,55,34,1343,1622,7,226.91858910375944,226.34980789209828,46,61,72,102,165,225,0.0,0.0372670807453416,0.1739130434782608,0.3229813664596273,889.9525062229428,394.0005293954072,155236.41716386116,cyto
56,56,38,1491,896,13,158.32604312980578,138.88008282898855,38,52,65,92,125,149,0.0138888888888888,0.0555555555555555,0.1944444444444444,0.4444444444444444,1003.7077787128726,446.9395021501676,199754.91858223965,nuc
57,57,5,369,1415,89,194.3994129456352,83.00044908533422,40,58,70,93,142,172,0.0135135135135135,0.054054054054054,0.2027027027027027,0.3918918918918919,1121.9484224464177,511.58805141313104,261722.3343486844,nuc
