,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,36,1222,2222,36,104.71852073992557,98.16116429439656,35,48,64,91,148,192,0.0,0.0638297872340425,0.1914893617021276,0.425531914893617,1300.4709317216316,592.8511827646398,351472.5249054324,nuc
1,1,9,297,25,108,95.5178738425437,159.5369326544942,35,42,52,69,103,128,0.0,0.0930232558139534,0.3488372093023256,0.6511627906976745,1786.5761871943178,775.0228710569762,600660.4506613984,cyto
2,2,35,1205,222,40,123.89590108898284,134.69782662464308,30,45,58,77,94,110,0.0,0.0588235294117647,0.2647058823529412,0.8529411764705882,1363.9968620111686,664.1734457741634,441126.3660715256,cyto
3,3,13,184,2447,40,101.5334522348855,137.5166561258321,31,44,66,95,156,174,0.0,0.0857142857142857,0.2285714285714285,0.3142857142857143,1816.8517292849924,702.964849805542,494159.5800621283,cyto
4,4,8,236,654,16,124.14998842371575,129.41557818007792,33,43,51,68,94,129,0.0,0.0925925925925925,0.4074074074074074,0.6666666666666666,1495.2875172974473,703.1033172070745,494354.274667592,nuc
5,5,36,1237,2417,71,209.8922142315481,189.13804779157127,39,59,88,98,137,157,0.0212765957446808,0.0638297872340425,0.1276595744680851,0.3404255319148936,1423.7253286066905,645.1752722543782,416251.1319285111,cyto
6,6,52,1795,1000,30,154.4485471639784,149.84653495750766,63,81,87,105,167,196,0.0,0.0384615384615384,0.0961538461538461,0.2692307692307692,1110.9610572482295,479.6261942380428,230041.2861992688,nuc
7,7,32,1241,574,21,176.13970256031888,193.63858629120108,30,35,58,93,157,185,0.0,0.1323529411764706,0.2058823529411764,0.3235294117647059,1159.8084785883505,569.4835754591355,324311.54271772085,cyto
8,8,60,1816,2177,51,83.02034182255223,72.098487065187,39,45,69,86,127,156,0.0,0.0588235294117647,0.2156862745098039,0.4509803921568627,1341.5042734690264,630.703512778131,397786.9210306741,nuc
9,9,74,2563,2598,139,131.97675908992142,169.38872483428105,37,58,66,84,155,209,0.0,0.078125,0.234375,0.359375,1957.0184931661024,771.622962785017,595401.9966971277,cyto
10,10,8,26,813,27,141.87076793363286,134.88051196388884,31,49,60,99,145,189,0.0,0.0555555555555555,0.2037037037037037,0.3518518518518518,1602.6390624698345,696.7389480226129,485445.1616916574,nuc
11,11,5,70,1418,10,152.87049189937665,144.65585992591429,19,27,27,58,60,80,0.0833333333333333,0.1666666666666666,0.8333333333333334,1.25,1528.8544039585367,631.2208904564518,398439.81254863593,cyto
12,12,19,517,145,25,157.53878982041434,189.17011857891063,24,34,48,72,112,141,0.0,0.1320754716981132,0.2641509433962264,0.6415094339622641,1595.198844410791,746.9509967766325,557935.7915856048,cyto
13,13,65,2171,1191,18,180.318523673753,184.60240975124975,79,139,154,190,245,269,0.0,0.0,0.0588235294117647,0.0588235294117647,1264.2508525629553,540.6091635130133,292258.26767423993,cyto
14,14,50,1577,360,14,81.2348064319351,87.69386473920747,32,52,60,81,113,139,0.0166666666666666,0.0666666666666666,0.2333333333333333,0.55,1294.597361432406,635.7203403810876,404140.3511742458,nuc
15,15,61,1848,1675,37,127.08686604471478,118.84952951993232,40,56,74,91,143,163,0.0,0.0535714285714285,0.1964285714285714,0.3392857142857143,1153.2008213596312,507.3691220106387,257423.4259698464,nuc
16,16,27,875,126,15,54.01151104629039,53.22515621247911,14,28,30,36,71,84,0.0555555555555555,0.2777777777777778,0.6666666666666666,1.3888888888888888,1483.3451019610573,706.6827619916269,499400.5260961144,nuc
17,17,14,414,947,103,74.88644756619793,154.3563884855555,43,78,93,125,169,193,0.0144927536231884,0.0434782608695652,0.1304347826086956,0.217391304347826,1308.383904346894,616.224379391368,379732.48575627664,cyto
18,18,5,148,1398,7,112.16024929790598,132.96731485513658,20,22,22,23,48,61,0.0833333333333333,0.25,1.0,1.5833333333333333,1468.9035289171145,619.9730064851899,384366.5287702853,cyto
19,19,35,1211,432,75,91.57555886879489,95.9237674617034,32,45,71,82,115,137,0.0294117647058823,0.088235294117647,0.2352941176470588,0.5588235294117647,1233.9624395373066,612.2088528751553,374799.6795387136,nuc
20,20,36,1199,2416,44,190.30759581710416,169.9596185238894,47,61,89,98,133,158,0.0,0.0425531914893617,0.1276595744680851,0.3829787234042553,1425.5071549119627,645.4722212406681,416634.388393362,cyto
21,21,70,2175,1456,9,123.2382142012804,103.73696658712798,19,19,27,27,47,60,0.125,0.25,1.375,2.5,1271.514579555515,548.3154905611174,300649.8771892788,cyto
22,22,18,619,1798,22,241.1249285059748,226.08414838712952,47,49,55,81,111,166,0.0,0.0408163265306122,0.2244897959183673,0.5306122448979592,1266.4679081916004,553.0773771723441,305894.5851398393,cyto
23,23,8,15,771,16,125.92490882211814,121.44054226150438,44,62,71,107,165,201,0.0185185185185185,0.037037037037037,0.1666666666666666,0.2962962962962963,1621.4088964634848,703.5690753517556,495009.4437913244,nuc
24,24,41,1431,464,49,52.79356697696693,49.18818630089207,38,39,50,54,79,102,0.0,0.12,0.56,1.0,1218.2863146028967,600.1936582571407,360232.42741208937,nuc
25,25,18,373,1463,48,194.20190871227683,215.15186151880323,18,33,45,60,104,126,0.0612244897959183,0.1224489795918367,0.4081632653061224,0.7142857142857143,1323.830023791183,575.8609917208051,331615.88178566925,cyto
26,26,38,1220,1100,43,61.20649504324948,46.99451071739785,41,47,58,72,93,117,0.0,0.0357142857142857,0.3928571428571428,0.7857142857142857,1010.3720488090491,424.35776555253466,180079.51318473998,nuc
27,27,10,383,1901,27,195.13177017434708,184.93053663151576,34,35,50,62,98,151,0.0,0.1282051282051282,0.358974358974359,0.5641025641025641,1427.445676137731,612.2603771407726,374862.769416561,cyto
28,28,34,1229,801,56,130.44947040050744,141.10304839208928,41,45,70,85,119,157,0.0,0.0428571428571428,0.2428571428571428,0.5,1071.8577483458337,500.9100834113435,250910.91166315912,nuc
29,29,27,831,190,41,42.516321909847335,50.21762883955241,23,28,30,37,49,62,0.0,0.2777777777777778,1.1666666666666667,1.8333333333333333,1450.3203419072229,702.1074016229946,492954.8034137931,nuc
30,30,2,45,1922,4,114.75282834779756,128.02796101588157,26,31,56,68,109,148,0.0,0.1052631578947368,0.3157894736842105,0.5789473684210527,1660.28639451635,655.5739820883745,429777.2459912084,nuc
31,31,38,1245,1248,46,97.72096238283156,114.029672523363,32,37,40,42,70,84,0.0,0.1785714285714285,0.6785714285714286,1.3571428571428572,1000.3172002975429,403.5303742080472,162836.76290848656,nuc
32,32,36,940,2166,65,195.30655084185932,213.3353771951897,48,51,64,82,116,142,0.0,0.0425531914893617,0.2340425531914893,0.574468085106383,1312.0261469909394,595.0920758202263,354134.57870402606,cyto
33,33,46,1486,317,14,58.69125831651112,61.74914807513885,25,27,27,44,61,72,0.0,0.2105263157894736,0.9473684210526316,1.894736842105263,1307.6843896664525,642.6468685905799,412994.997709278,nuc
34,34,8,13,741,14,117.24438781733949,115.02105718350896,31,68,80,94,162,194,0.037037037037037,0.074074074074074,0.1666666666666666,0.3518518518518518,1630.8663332756407,708.0059261161099,501272.3914155305,nuc
35,35,40,1419,825,21,79.89944729683255,102.9875024751667,33,43,44,49,72,78,0.0,0.08,0.92,1.64,1068.19298644776,487.5789095514328,237733.19303936427,cyto
36,36,11,286,168,22,135.09016588567744,149.32640835751897,37,38,39,55,89,110,0.0217391304347826,0.1521739130434782,0.4565217391304347,0.8478260869565217,1699.1064608060592,766.772089494695,587939.4372280606,cyto
37,37,11,366,279,23,93.13489551416974,106.16864361803628,44,52,64,83,105,136,0.0,0.0434782608695652,0.2391304347826087,0.6304347826086957,1587.720485934212,747.7508117581879,559131.2764850289,cyto
38,38,18,309,1464,7,249.22208894106603,270.3578967741438,26,33,47,60,96,118,0.0204081632653061,0.1428571428571428,0.3877551020408163,0.7551020408163265,1364.4089964462148,590.0661872763075,348178.10536679835,cyto
39,39,17,548,575,41,137.1632595129831,118.93732632382353,47,51,58,74,106,139,0.0,0.0285714285714285,0.3,0.6285714285714286,1343.8702228076663,671.8473987751287,451378.9272409068,nuc
40,40,19,727,370,7,192.03402192283124,168.45971058220024,44,64,84,103,129,153,0.0,0.0188679245283018,0.1320754716981132,0.3584905660377358,1370.9165010394838,683.5580451644164,467251.6011089983,cyto
41,41,32,913,716,21,183.7111037644668,165.4283908314622,31,38,50,68,108,143,0.0147058823529411,0.1029411764705882,0.3529411764705882,0.5588235294117647,1150.5431155965252,568.2015617632596,322853.0147902074,cyto
42,42,25,694,1769,42,140.6572137499454,111.07392716865276,27,43,74,91,126,155,0.0363636363636363,0.0909090909090909,0.1636363636363636,0.4181818181818181,1223.6962042428063,532.9538484656943,284039.8045943942,nuc
43,43,5,90,1400,23,127.5232067560069,124.46198236219092,27,37,37,39,56,82,0.0,0.25,0.6666666666666666,1.5,1512.1432150651883,628.6696661408686,395225.5491256711,nuc
44,44,36,1289,2303,17,179.8270696504031,163.25894267206,36,44,60,81,119,144,0.0,0.0638297872340425,0.2127659574468085,0.5106382978723404,1346.4080613185165,616.0854352114139,379561.2634796373,cyto
