,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,7,231,1613,8,150.18501959809942,77.676633313545,24,27,31,40,68,105,0.0,0.2857142857142857,0.6190476190476191,1.0,1261.756857341789,592.7520112735283,351354.9468688131,cyto
1,1,68,1864,2445,12,275.02768613187925,243.9718291124183,76,76,126,183,202,234,0.0,0.0,0.1111111111111111,0.1111111111111111,1551.2000287223912,647.3986161034092,419124.9681326093,cyto
2,2,7,261,1541,42,125.80746769497615,38.368277419338206,43,44,46,58,109,135,0.0,0.0,0.4285714285714285,0.6190476190476191,1230.4778406224302,579.8834349638723,336264.79814549955,nuc
3,3,16,437,2176,18,141.13787562432515,135.63000126744814,29,29,30,30,44,54,0.0,0.375,1.75,3.375,1367.6270768965,633.332922853236,401110.591169823,cyto
4,4,17,551,759,46,221.8793053380104,252.8210482962178,43,43,50,51,83,144,0.0476190476190476,0.0476190476190476,0.4761904761904761,0.6666666666666666,1165.9068487721,553.2244131050902,306057.2512554715,cyto
5,5,24,895,321,20,210.1192421471428,184.78129989987428,39,71,71,72,101,116,0.0,0.0625,0.25,0.875,1302.8243612830097,590.3628964431034,348528.34949669044,cyto
6,6,24,757,327,50,145.122480958275,122.272961631713,22,25,50,69,89,122,0.0,0.125,0.3125,0.6875,1326.051053429189,603.3374741259018,364016.1076846232,cyto
7,7,34,962,412,55,126.60086731329952,143.23317490357778,38,43,43,60,113,174,0.0,0.0769230769230769,0.3846153846153846,0.6153846153846154,1235.7946380567691,564.2814940963143,318413.60457956884,nuc
8,8,42,1350,2374,53,64.85920144340355,77.3668676028839,33,59,72,95,111,169,0.0,0.0666666666666666,0.2,0.6,1357.04158255187,593.8855854938438,352700.08865736565,nuc
9,9,50,1817,2504,9,188.05735112145135,194.0260384828209,76,76,76,76,197,211,0.0,0.0,0.25,0.25,1574.985643513182,646.0466193523988,417376.2343766632,cyto
10,10,55,1846,1128,17,173.2583292322292,177.89552377549427,34,37,38,49,74,96,0.0,0.1935483870967742,0.6451612903225806,0.967741935483871,1123.8092970447724,520.5527834489233,270975.20035642164,cyto
11,11,4,37,1273,38,158.03057778127666,205.45001069016527,70,87,90,133,182,229,0.0,0.0175438596491228,0.0526315789473684,0.2105263157894736,1364.0102497925902,618.5730764981768,382632.6509684192,cyto
12,12,5,342,2272,13,207.56470328531293,196.90466141084323,17,21,30,39,64,74,0.0689655172413793,0.2758620689655172,0.8275862068965517,1.3793103448275863,1465.5903018150773,666.0970969136733,443685.3425168236,cyto
13,13,21,525,2218,58,119.36636205905404,110.86072177395036,32,50,57,74,119,148,0.0,0.088235294117647,0.2647058823529412,0.5,1356.5114877683857,623.8372830447989,389172.9557167165,nuc
14,14,5,23,2261,24,187.71338790652723,167.2688896071648,32,37,65,104,160,189,0.0344827586206896,0.1034482758620689,0.1724137931034483,0.4137931034482758,1644.8877805326108,692.7188155735321,479859.3574495971,nuc
15,15,16,402,2201,20,177.39720076117942,170.90272041258322,16,16,20,20,29,44,0.25,0.625,2.25,4.375,1396.7782765604372,644.6275616327084,415544.69321653136,cyto
16,16,25,680,1986,46,98.90656114261137,134.04264628381364,98,98,116,120,134,147,0.0,0.0,0.0,0.3333333333333333,1180.588687446071,545.4159267671199,297478.5331712363,cyto
17,17,34,898,438,4,174.10599271339746,178.00979385269792,30,31,31,48,118,138,0.0,0.2307692307692307,0.3846153846153846,0.5384615384615384,1228.68007775972,563.6900337342578,317746.4541313286,cyto
18,18,36,1054,1293,90,94.08824037362812,124.09770480170314,38,73,74,95,122,145,0.0232558139534883,0.0697674418604651,0.1860465116279069,0.4883720930232558,929.4294838269334,395.5548022806725,156463.60160730185,nuc
19,19,30,907,2360,88,66.06154727232234,75.48535197736322,23,23,40,40,63,150,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1353.0747634814238,590.8804824289987,349139.74451552617,nuc
20,20,42,1517,2396,1,178.8120124535006,181.5285662439815,54,61,65,69,110,120,0.0,0.0,0.3333333333333333,0.8,1401.4836768848252,611.3305593389014,373725.052781614,cyto
21,21,36,1266,1505,25,206.713748718728,177.7490646415214,50,54,55,86,122,150,0.0,0.0465116279069767,0.2093023255813953,0.4883720930232558,943.5267429198858,418.8320110888266,175420.25351271097,cyto
22,22,41,1216,301,57,106.35175115733855,140.4622601588522,53,67,72,96,156,221,0.0,0.0,0.1794871794871795,0.3333333333333333,1296.3929416834926,589.0813597604583,347016.8484172305,cyto
23,23,24,793,476,66,44.41851680124565,41.07007793267004,80,89,92,112,135,146,0.0,0.0,0.0625,0.375,1226.4659011161184,567.2058569349435,321722.4841413036,nuc
24,24,24,596,578,7,186.0076793215381,210.0453785008207,64,91,92,93,109,132,0.0,0.0,0.0625,0.5625,1228.7615526675777,578.7787774035796,334984.8731727824,cyto
25,25,61,1958,228,27,99.85647152566963,102.21237754044328,24,31,34,63,104,143,0.0,0.1538461538461538,0.3076923076923077,0.6538461538461539,1545.806817229977,667.3345641664783,445335.4205312636,cyto
26,26,7,215,1596,29,127.1823013908816,60.79094073562142,22,24,27,41,72,118,0.0476190476190476,0.238095238095238,0.6190476190476191,0.8095238095238095,1268.4467153637572,594.8362996275787,353830.2233546305,nuc
27,27,41,1227,218,82,100.83987417279852,171.38955584985433,24,29,36,56,136,202,0.0256410256410256,0.1538461538461538,0.3076923076923077,0.4871794871794871,1353.9362411959037,608.3024590045634,370031.8816309985,cyto
28,28,47,1478,1448,26,135.09952987763876,135.65601276268845,29,37,48,63,89,124,0.0465116279069767,0.1162790697674418,0.3953488372093023,0.7441860465116279,972.4435367606784,443.3098339665789,196523.6088914757,cyto
29,29,48,1602,2256,8,131.23819601496533,148.65512358766497,50,59,68,84,110,134,0.0,0.0238095238095238,0.2142857142857142,0.5952380952380952,1324.8418757841996,606.0654373974155,367315.3144077205,cyto
