,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,56,1704,650,74,56.15692704682552,49.99302001534473,33,46,52,68,101,127,0.0,0.0854700854700854,0.3247863247863248,0.6752136752136753,1181.5407617856847,564.5590815265261,318726.95653407474,nuc
1,1,77,2204,1329,21,138.494277713675,124.650041963376,33,46,56,69,95,117,0.0,0.0821917808219178,0.4246575342465753,0.7808219178082192,1285.522354781153,583.7585524623105,340774.04757289216,nuc
2,2,6,290,1050,10,176.2136717070977,175.79921581020304,30,52,64,83,119,151,0.0086206896551724,0.0689655172413793,0.2413793103448276,0.5086206896551724,1311.1996440255507,594.600673113121,353549.9604665766,cyto
3,3,39,1173,720,48,31.89391017323432,41.25192304260518,27,37,39,51,71,91,0.0465116279069767,0.1627906976744186,0.6046511627906976,1.6511627906976745,1084.9011104271185,502.65179687673856,252658.828903414,nuc
4,4,9,67,1965,10,150.76634577476872,160.30259829994804,41,50,53,66,124,159,0.0,0.0439560439560439,0.3186813186813186,0.4945054945054945,1572.8023471733482,673.9233492239296,454172.68062919856,cyto
5,5,19,672,58,26,164.63613351407002,155.3611467891416,41,56,66,97,161,200,0.0,0.0387596899224806,0.2170542635658914,0.3333333333333333,1577.738808949975,691.8462187121894,478651.19034635456,nuc
6,6,48,1304,758,52,80.96333242195233,77.23228849808204,28,40,43,55,82,107,0.0277777777777777,0.1111111111111111,0.4861111111111111,0.9444444444444444,1069.5423462479434,489.48505079279886,239595.61494962889,nuc
7,7,18,529,749,35,106.9318863364608,90.66382920757664,26,33,38,50,74,92,0.0181818181818181,0.1818181818181818,0.5818181818181818,1.2,1249.6732233184173,592.3174363236056,350839.9453729686,nuc
8,8,13,436,314,34,98.4105703860494,125.17169392755422,33,45,55,68,97,124,0.0,0.0654205607476635,0.3644859813084112,0.7476635514018691,1501.8688195129416,685.6836412339219,470162.05585580977,nuc
9,9,41,1342,830,7,119.5153554575222,102.12550894600209,46,60,67,86,119,153,0.0,0.0291970802919708,0.2262773722627737,0.5109489051094891,1046.6536165690384,469.4119470208236,220347.5760058805,nuc
10,10,21,822,2257,85,225.5959510767224,179.94415164616208,52,70,83,112,163,203,0.0112359550561797,0.0262172284644194,0.1385767790262172,0.2846441947565543,1339.4548228535434,622.7680168634316,387840.0028280114,nuc
11,11,38,1131,407,5,98.8177734560502,113.60651986045,33,46,48,72,108,131,0.0,0.064516129032258,0.3010752688172043,0.6129032258064516,1243.6387824049227,594.6397575661086,353596.44127828046,cyto
12,12,6,283,992,36,140.12831959851783,136.21149983181607,39,51,61,77,119,153,0.0086206896551724,0.0603448275862069,0.2672413793103448,0.5,1325.180489784417,602.3080160172464,362774.94615863153,nuc
13,13,41,1289,987,73,62.99490464187769,91.09512716811216,37,50,57,73,109,135,0.0145985401459854,0.0656934306569343,0.2773722627737226,0.5985401459854015,1002.2802015871306,425.4008981427989,180965.92414069996,nuc
14,14,9,322,1841,4,169.1253591200817,156.7756204014105,39,48,65,78,109,139,0.0109890109890109,0.0549450549450549,0.2527472527472527,0.5934065934065934,1362.1786903329105,619.7994260616301,384151.3285463261,cyto
15,15,80,2293,825,50,76.67006445695698,102.16041962271404,39,44,50,63,80,101,0.0,0.0615384615384615,0.5076923076923077,0.953846153846154,1406.6623424888282,647.109167034529,418750.274060122,nuc
16,16,55,1605,1733,58,83.75320185933352,101.21495560627956,41,48,61,70,94,117,0.0,0.0394736842105263,0.3026315789473684,0.8157894736842105,1086.5006030184834,464.29699705534944,215571.70147461517,nuc
17,17,27,780,421,39,100.89493504194644,125.44581294146538,39,50,57,68,93,119,0.0,0.0520833333333333,0.3229166666666667,0.78125,1301.1637415514854,624.5666425056065,390083.49093072605,cyto
18,18,27,871,412,30,83.7900482682544,115.0135750852011,37,44,54,70,91,118,0.0,0.0833333333333333,0.375,0.8020833333333334,1281.5910851467463,615.6712315968911,379051.0654160328,cyto
