,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,54,1982,2537,16,154.72220536220112,161.681495431922,25,38,56,69,108,149,0.0238095238095238,0.119047619047619,0.3809523809523809,0.6428571428571429,1643.8403628714384,698.3885899288646,487746.6225428277,cyto
1,1,9,528,278,50,228.6046995307972,181.73806436250496,43,65,82,105,135,166,0.0067567567567567,0.0405405405405405,0.1283783783783783,0.3918918918918919,1445.2142927265627,693.8105085348576,481373.02175339765,cyto
2,2,19,592,1620,24,107.90975045316245,93.87478162173382,39,45,53,71,107,134,0.0,0.0625,0.3303571428571428,0.6339285714285714,1113.4524265443006,558.015165858259,311380.9253278203,nuc
3,3,43,1844,2524,124,24.80877488282221,43.39992635744862,40,42,59,84,114,141,0.0,0.0677966101694915,0.2033898305084746,0.5423728813559322,1579.3485517590614,685.7770599662198,470290.1759759121,nuc
4,4,22,751,635,52,223.4810936619301,124.1273708605544,45,54,72,100,159,199,0.0067567567567567,0.0405405405405405,0.1959459459459459,0.3175675675675675,1174.6669389398537,577.8286199346911,333885.9140156297,nuc
5,5,9,556,295,19,257.43573668377184,212.306151394324,52,73,84,99,141,168,0.0067567567567567,0.027027027027027,0.1283783783783783,0.3918918918918919,1423.715662049624,686.3654327285972,471097.5072447144,cyto
6,6,33,1395,421,47,204.41109948021932,275.8529638841796,125,137,167,192,253,290,0.0,0.0,0.0169491525423728,0.0338983050847457,1263.4780345051347,516.2232399816389,266486.4334971408,cyto
7,7,8,460,2538,68,213.85389673712928,200.50507713530064,86,116,147,182,217,256,0.0,0.0114942528735632,0.0344827586206896,0.1034482758620689,1645.877436725741,677.4029807426034,458874.7983189639,cyto
8,8,22,950,681,8,105.68412080936332,135.77180966787918,55,83,99,129,179,209,0.0,0.0337837837837837,0.0878378378378378,0.2094594594594594,1115.7023907908376,515.5969910626276,265840.25719283527,nuc
9,9,9,554,251,27,255.5930998273905,205.7809825750964,55,66,75,94,133,172,0.0,0.0202702702702702,0.1891891891891892,0.3783783783783784,1453.1839295508,692.1814908350253,479115.2162545982,cyto
10,10,23,711,213,42,140.66255599606745,126.51552170535528,57,63,79,97,123,152,0.0,0.0194174757281553,0.1844660194174757,0.4854368932038835,1430.1638557625963,666.4809499830086,444196.85669025365,nuc
11,11,50,2226,19,69,156.99082003088716,187.48615091056612,28,43,52,65,103,126,0.0204081632653061,0.0816326530612244,0.3469387755102041,0.6938775510204082,1815.300409620036,653.6845801298856,427303.5302995849,cyto
12,12,13,544,1607,24,136.65647851666472,73.09770965058969,20,28,37,50,82,99,0.064516129032258,0.1774193548387097,0.4516129032258064,1.064516129032258,1132.233550815751,568.2479909911864,322905.77926551946,nuc
13,13,55,2063,486,19,281.3233141783568,204.82774294883657,44,87,111,135,176,209,0.0,0.0416666666666666,0.075,0.1833333333333333,1449.4581497387517,584.6633896775218,341831.27922920964,cyto
14,14,55,2114,165,21,201.34669620412384,200.62846125389447,42,61,92,121,169,223,0.0,0.0416666666666666,0.1416666666666666,0.2416666666666666,1660.3915546483308,631.8660963972768,399254.7637763327,cyto
