,Unnamed: 0,label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
0,0,39,1020,2615,131,89.2177511720115,95.36005268348558,31,49,63,104,133,143,0.0,0.081081081081081,0.1621621621621621,0.3783783783783784,1547.5551897929715,658.9803897363222,434255.1540570351,nuc
1,1,51,1796,2402,51,285.3967229371325,286.3162351774817,62,78,87,111,185,225,0.0,0.0111731843575419,0.1117318435754189,0.2793296089385474,1473.207950454936,663.1497726695587,439767.62099168746,nuc
2,2,13,171,847,15,190.14438212031823,189.11989117086875,38,53,66,80,124,155,0.0,0.0689655172413793,0.25,0.4482758620689655,1411.1722966261814,666.2972607208048,443952.03964404814,nuc
3,3,76,2409,1067,12,147.1087997355365,134.7485629126507,47,67,74,92,124,160,0.0,0.0196078431372549,0.1568627450980392,0.4705882352941176,1476.7621590842778,630.5422011371564,397583.4674148902,nuc
4,4,10,302,2482,25,100.33608550162084,114.97462319054772,24,28,35,41,61,83,0.0,0.21875,0.65625,1.375,1674.8798838801845,709.3768468076835,503215.5107868117,nuc
5,5,4,15,1391,16,280.26573192806256,299.0979066523093,59,81,108,131,182,224,0.0,0.0181818181818181,0.0909090909090909,0.2,1464.1134265224678,653.4876849268467,427046.1543510496,nuc
6,6,79,2592,2386,19,153.8092814528674,150.218717207006,49,54,69,74,134,162,0.0,0.0357142857142857,0.25,0.4285714285714285,1892.9178961901505,734.4992479424839,539489.1452280744,nuc
7,7,49,1312,1029,19,210.9196434407297,207.3941332420577,44,56,76,83,128,161,0.0,0.0229885057471264,0.2068965517241379,0.4482758620689655,1016.8609476277016,406.10419200075967,164920.61476058987,nuc
8,8,39,897,2617,16,158.65654423253127,159.4481317063303,44,76,84,103,158,182,0.0,0.0,0.1351351351351351,0.3513513513513513,1567.3175487391818,665.4678683169309,442847.48376228014,cyto
9,9,66,2135,626,20,135.05656477918757,133.35344328881766,49,56,61,73,98,130,0.0,0.0181818181818181,0.3090909090909091,0.7272727272727273,1423.7788703957394,626.4682776605064,392462.5029149213,nuc
10,10,30,674,543,3,137.59667844564083,136.663643038055,39,52,56,65,102,130,0.0,0.0727272727272727,0.3090909090909091,0.6545454545454545,1274.2487131709688,621.1917668438747,385879.2111946148,nuc
11,11,47,1465,640,13,135.80732407058107,129.46871977097652,51,73,102,130,188,225,0.0,0.0306748466257668,0.1165644171779141,0.2147239263803681,1163.7220134093534,521.6870531439462,272157.38141801447,nuc
12,12,27,664,256,54,126.24758907501833,123.1088104303123,27,37,57,70,94,113,0.0,0.1132075471698113,0.3584905660377358,0.9245283018867924,1443.3137718266382,682.0225949998198,465154.8200902882,nuc
13,13,69,1976,2596,50,201.62052733061452,210.99743446489876,34,50,51,71,112,146,0.0,0.0909090909090909,0.3181818181818182,0.5681818181818182,1676.631946153737,704.2928485779049,496028.41655797977,nuc
14,14,5,189,2531,89,80.13843949207738,127.38754324913604,37,52,65,80,114,141,0.0,0.0517241379310344,0.2586206896551724,0.5517241379310345,1769.118931765484,718.2949219455495,515947.594892763,nuc
15,15,74,2295,737,7,121.81187337132124,123.715983810397,35,36,52,60,101,118,0.0344827586206896,0.1034482758620689,0.3793103448275862,0.7586206896551724,1479.1076700960598,638.793570706617,408057.2259761097,nuc
16,16,48,1316,2006,52,105.67745623473354,107.75103773390092,55,70,84,100,127,163,0.0,0.0483870967741935,0.1290322580645161,0.4354838709677419,1148.6546990252536,518.714935378574,269065.18418479816,nuc
